S.N.,Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Serious Critical,Tot cases/ 1M pop,Deaths / 1M pop,TOtal Tests,Tests/ 1M pop,Population,,,,,,,,,,,,
1,USA,"33,146,008",,"590,704 ",,"25,777,927",,"6,777,377","9,543","99,652","1,776","447,732,682","1,346,092","332,616,743 ",North America,105631,,,"20,376",,,,,
2,India,"19,557,457","+7,801","215,542 ",+19,"15,992,271","+10,499","3,349,644","8,944","14,057",155,"290,142,339","208,545","1,391,271,798 ",Asia,"716,4555",6,0.01,"2,408",,,,,
3,Brazil,"14,725,975",,"406,565 ",,"13,242,665",,"1,076,745","8,318","68,872","1,901","43,818,216","204,935","213,815,388 ",South America,155265,,,"5,036",,,,,
4,France,"5,642,359",,"104,706 ",,"4,590,376",,"947,277","5,581","86,283","1,601","76,301,950","1,166,808","65,393,762 ",Europe,126251,,,"14,486",,,,,
5,Turkey,"4,849,408",,"40,504 ",,"4,405,199",,"403,705","3,525","56,990",476,"47,504,193","558,265","85,092,490 ",Asia,"182,1012",,,"4,744",,,,,
6,Russia,"4,814,558",,"110,520 ",,"4,436,583",,"267,455","2,300","32,979",757,"129,500,000","887,068","145,986,588 ",Europe,"301,3211",,,"1,832",,,,,
7,UK,"4,418,530",,"127,524 ",,"4,218,172",,"72,834",185,"64,804","1,870","156,302,824","2,292,415","68,182,618 ",Europe,155350,,,"1,068",,,,,
8,Italy,"4,035,617",,"121,033 ",,"3,484,042",,"430,542","2,522","66,828","2,004","58,957,954","976,323","60,387,724 ",Europe,154991,,,"7,130",,,,,
9,Spain,"3,524,077",,"78,216 ",,"3,206,273",,"239,588","2,308","75,349","1,672","46,199,597","987,807","46,769,864 ",Europe,135981,,,"5,123",,,,,
10,Germany,"3,412,373",,"83,702 ",,"3,024,600","+12,500","304,071","5,049","40,620",996,"55,490,413","660,546","84,006,917 ",Europe,"251,0042",,,"3,620",,,,,
11,Argentina,"2,993,865",,"64,096 ",,"2,655,359",,"274,410","5,370","65,741","1,407","11,209,847","246,152","45,540,268 ",South America,157114,,,"6,026",,,,,
12,Colombia,"2,877,746",,"74,215 ",,"2,686,399",,"117,132","6,006","56,060","1,446","14,888,382","290,034","51,333,154 ",South America,186923,,,"2,282",,,,,
13,Poland,"2,798,617",,"67,924 ",,"2,510,858",,"219,835","2,723","74,014","1,796","14,321,250","378,748","37,812,066 ",Europe,145573,,,"5,814",,,,,
14,Iran,"2,516,157",,"72,090 ",,"1,971,064",,"473,003","5,421","29,642",849,"15,961,178","188,033","84,884,809 ",Asia,"341,1775",,,"5,572",,,,,
15,Mexico,"2,347,780","+3,025","217,168 ",+261,"1,867,191","+2,277","263,421","4,798","18,052","1,670","6,650,124","51,132","130,057,448 ",North America,5559920,23,2,"2,025",,,,,
16,Ukraine,"2,083,180","+5,094","44,596 ",+160,"1,676,265","+5,784","362,319",177,"47,873","1,025","9,456,234","217,312","43,514,481 ",Europe,219765,117,4,"8,326",,,,,
17,Peru,"1,804,915",,"61,789 ",,"1,688,091",,"55,035","2,667","54,116","1,853","11,225,924","336,582","33,352,726 ",South America,185403,,,"1,650",,,,,
18,Indonesia,"1,672,880",,"45,652 ",,"1,526,978",,"100,250",,"6,063",165,"14,703,659","53,289","275,924,964 ",Asia,"1656,04419",,,363,,,,,
19,Czechia,"1,632,932",,"29,316 ",,"1,555,152",,"48,464",527,"152,247","2,733","18,347,631","1,710,651","10,725,523 ",Europe,73661,,,"4,519",,,,,
20,South Africa,"1,582,842",,"54,406 ",,"1,506,732",,"21,704",546,"26,412",908,"10,682,827","178,258","59,929,069 ",Africa,"381,1026",,,362,,,,,
21,Netherlands,"1,502,107",,"17,169 ",,"1,263,274",,"221,664",792,"87,503","1,000","12,274,847","715,049","17,166,437 ",Europe,"111,0001",,,"12,913",,,,,
22,Canada,"1,227,035",,"24,261 ",,"1,119,279",,"83,495","1,422","32,276",638,"31,629,802","831,989","38,017,069 ",North America,"311,5671",,,"2,196",,,,,
23,Chile,"1,204,755",,"26,457 ",,"1,136,816",,"41,482","3,336","62,576","1,374","13,115,985","681,260","19,252,532 ",South America,167281,,,"2,155",,,,,
24,Iraq,"1,070,366",,"15,498 ",,"949,341",,"105,527",571,"26,127",378,"9,376,388","228,868","40,968,539 ",Asia,"382,6434",,,"2,576",,,,,
25,Romania,"1,056,572",,"28,194 ",,"992,605",,"35,773","1,277","55,230","1,474","8,273,925","432,498","19,130,567 ",Europe,186792,,,"1,870",,,,,
26,Philippines,"1,046,653",,"17,354 ",,"957,051",,"72,248",750,"9,447",157,"11,854,425","106,998","110,790,799 ",Asia,"1066,3849",,,652,,,,,
27,Belgium,"993,434","+3,205","24,258 ",+28,"858,223",,"110,953",855,"85,408","2,086","12,586,507","1,082,097","11,631,588 ",Europe,124791,276,2,"9,539",,,,,
28,Sweden,"973,604",,"14,048 ",,"806,095","+6,978","153,461",392,"95,906","1,384","8,482,276","835,558","10,151,626 ",Europe,107231,,,"15,117",,,,,
29,Israel,"838,481",,"6,363 ",,"830,625",,"1,493",110,"91,163",692,"14,200,104","1,543,894","9,197,590 ",Asia,"111,4451",,,162,,,,,
30,Portugal,"836,947",,"16,976 ",,"796,477",,"23,494",84,"82,280","1,669","10,515,374","1,033,765","10,171,918 ",Europe,125991,,,"2,310",,,,,
31,Pakistan,"829,933","+4,414","18,070 ",+113,"722,202","+5,193","89,661","5,448","3,698",81,"11,882,141","52,941","224,441,715 ",Asia,"27012,42119",20,0.5,399,,,,,
32,Hungary,"781,299",,"27,701 ",,"517,026",,"236,572",621,"81,048","2,874","5,394,652","559,617","9,639,899 ",Europe,123482,,,"24,541",,,,,
